CRESCENTE
BUBBLESORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,0.000000,0.000000,0.000000,
500,1.000000,1.000000,0.000000,
INSERTIONSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,0.000000,0.000000,0.000000,
500,0.000000,0.000000,0.000000,
MERGESORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,0.000000,0.000000,0.000000,
500,0.000000,0.000000,0.000000,
HEAPSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,0.000000,0.000000,0.000000,
500,0.000000,0.000000,0.000000,
QUICKSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,0.000000,0.000000,0.000000,
500,0.000000,1.000000,2.000000,
DECRESCENTE
BUBBLESORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,0.000000,0.000000,0.000000,
500,1.000000,1.000000,2.000000,
INSERTIONSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,0.000000,0.000000,0.000000,
500,0.000000,2.000000,0.000000,
MERGESORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,0.000000,0.000000,0.000000,
500,0.000000,0.000000,0.000000,
HEAPSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,0.000000,0.000000,0.000000,
500,0.000000,0.000000,0.000000,
QUICKSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,1.000000,0.000000,0.000000,
500,0.000000,2.000000,1.000000,
ALEATORIO
BUBBLESORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,1.000000,2.000000,0.000000,
500,1.000000,0.000000,1.000000,
INSERTIONSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,0.000000,0.000000,0.000000,
500,0.000000,0.000000,2.000000,
MERGESORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,0.000000,0.000000,0.000000,
500,1.000000,1.000000,1.000000,
HEAPSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,0.000000,0.000000,0.000000,
500,0.000000,0.000000,0.000000,
QUICKSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,0.000000,0.000000,0.000000,
500,0.000000,0.000000,0.000000,
